EmployeeNumber,Age,Department,JobRole,Salary,YearsAtCompany,JobSatisfaction,WorkLifeBalance,PerformanceRating,Education,EducationField,Gender,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,TerminationDate,Attrition
42,36,Operations,Operations Manager,109052,14,1,3,5,2,Technical Degree,Female,Divorced,0,22,6,12,11,14,2010-07-25,2019-08-22,Yes
43,34,IT,Developer,88190,14,3,4,1,2,Technical Degree,Male,Married,1,15,2,14,14,14,2010-07-26,2018-04-05,Yes
44,32,IT,Engineer,127868,14,5,3,2,2,Technical Degree,Male,Married,7,15,3,4,4,13,2010-07-28,2017-06-10,Yes
45,23,HR,HR Director,107241,14,1,5,2,1,Other,Female,Married,8,23,6,14,7,14,2010-07-28,,No
46,29,Finance,Financial Analyst,63221,14,4,1,1,5,Other,Female,Divorced,1,22,3,13,1,14,2010-08-05,,No
47,31,Research,Research Scientist,107372,14,2,4,2,2,Medical,Male,Married,6,17,3,14,1,14,2010-08-06,2014-01-17,Yes
48,43,Sales,Sales Director,116373,14,2,4,1,5,Other,Female,Married,4,18,3,14,4,14,2010-08-09,,No
49,37,Sales,Sales Director,82016,14,2,5,1,1,Marketing,Male,Single,2,22,5,9,0,2,2010-08-23,2015-10-09,Yes
50,20,Finance,Accountant,57274,14,4,3,3,5,Other,Male,Married,8,19,1,14,14,2,2010-08-28,,No
51,37,HR,HR Director,101826,14,1,1,4,3,Human Resources,Female,Married,5,23,1,14,3,3,2010-09-02,2016-01-02,Yes
52,31,HR,HR Specialist,54473,14,4,3,2,5,Human Resources,Male,Married,10,22,3,1,1,5,2010-09-03,,No
53,29,Engineering,Technical Director,131435,14,2,2,2,2,Technical Degree,Male,Married,0,22,3,14,12,14,2010-09-04,2015-11-04,Yes
54,39,IT,Technical Specialist,96415,14,5,3,3,1,Other,Female,Single,4,20,0,12,12,14,2010-09-05,,No
55,43,Research,Research Director,139638,14,3,4,3,2,Life Sciences,Female,Single,6,23,1,5,5,12,2010-09-10,,No
56,42,Marketing,Brand Manager,108023,14,4,1,3,3,Marketing,Male,Single,3,22,0,14,10,9,2010-09-11,,No
57,28,Finance,Controller,115326,14,4,3,5,2,Life Sciences,Male,Single,7,18,6,14,12,14,2010-09-18,,No
58,32,Sales,Account Executive,76804,14,1,1,5,2,Marketing,Male,Married,9,18,0,14,7,14,2010-09-22,2017-05-01,Yes
59,37,Finance,Finance Manager,117749,14,1,1,5,2,Marketing,Female,Single,4,21,4,14,6,14,2010-09-26,,No
60,42,Research,Research Director,140141,14,4,2,1,4,Life Sciences,Female,Single,8,23,5,2,0,11,2010-09-29,,No
61,31,Engineering,Engineering Manager,93429,14,2,2,2,3,Technical Degree,Male,Divorced,8,17,6,4,0,6,2010-10-02,,No
62,33,Finance,Financial Analyst,96553,14,3,4,4,2,Other,Male,Married,8,22,2,14,5,10,2010-10-04,,No
63,26,HR,HR Specialist,70491,14,1,5,1,2,Life Sciences,Male,Married,0,20,1,6,6,8,2010-10-06,2015-12-17,Yes
64,25,Marketing,Marketing Manager,99989,14,2,1,2,2,Marketing,Female,Married,1,20,3,14,14,14,2010-10-09,2018-02-03,Yes
65,41,Engineering,Senior Engineer,98985,14,5,5,2,1,Technical Degree,Female,Married,2,16,6,12,12,3,2010-10-09,,No
66,45,IT,System Administrator,55868,14,1,4,3,4,Technical Degree,Female,Single,3,17,3,14,14,2,2010-10-16,2020-03-05,Yes
67,34,Operations,Supply Chain Manager,101820,14,2,1,3,1,Technical Degree,Female,Divorced,9,20,2,14,1,14,2010-10-27,2013-07-10,Yes
68,43,Operations,Operations Specialist,66254,14,2,1,1,4,Other,Male,Single,8,18,6,14,14,14,2010-10-31,2018-04-24,Yes
69,37,Sales,Sales Representative,73618,14,3,5,3,2,Marketing,Male,Married,9,16,1,4,0,9,2010-11-03,,No
70,29,IT,Technical Specialist,75423,14,3,3,2,3,Technical Degree,Male,Married,5,14,6,1,1,14,2010-11-21,2014-06-08,Yes
71,37,Sales,Sales Manager,115621,14,5,2,3,5,Marketing,Male,Married,0,20,3,14,14,4,2010-11-22,,No
72,47,Engineering,Engineer,115603,14,2,3,5,5,Other,Male,Married,8,19,3,14,2,10,2010-11-30,,No
73,34,IT,System Administrator,69325,14,2,5,3,2,Technical Degree,Male,Married,5,23,4,14,3,14,2010-12-09,,No
74,47,IT,IT Manager,97996,14,3,2,2,1,Other,Female,Single,3,20,0,3,3,13,2010-12-21,2013-11-19,Yes
75,18,Engineering,Technical Director,152820,14,1,3,1,3,Technical Degree,Female,Married,3,15,6,14,4,14,2010-12-23,,No
76,41,IT,Engineer,117182,14,1,2,4,4,Other,Male,Divorced,2,17,3,14,14,14,2010-12-26,,No
77,35,Research,Research Scientist,107532,14,4,1,3,2,Medical,Male,Divorced,6,15,5,5,5,4,2010-12-28,2012-09-08,Yes
78,32,Finance,Controller,89982,14,3,3,2,3,Other,Male,Single,2,21,1,14,5,9,2010-12-31,2013-01-25,Yes
79,35,IT,System Administrator,59316,14,4,2,4,3,Technical Degree,Female,Married,1,20,5,14,9,4,2011-01-03,2014-09-21,Yes
80,19,Research,Research Director,116094,14,3,2,4,4,Medical,Female,Divorced,9,14,2,14,14,14,2011-01-05,2018-09-19,Yes
81,33,Finance,Accountant,91147,14,5,2,5,3,Life Sciences,Male,Married,7,15,6,3,1,14,2011-01-08,2012-05-25,Yes
82,37,Marketing,Brand Manager,109406,14,2,3,4,1,Marketing,Male,Married,3,15,4,14,9,14,2011-01-11,,No
83,46,HR,HR Specialist,85904,14,5,4,2,1,Other,Male,Divorced,7,17,1,7,5,2,2011-01-11,,No
84,30,Marketing,Marketing Manager,126241,14,3,3,2,1,Life Sciences,Male,Divorced,0,16,4,6,6,14,2011-01-12,,No
85,28,IT,Engineer,106476,14,2,5,3,3,Other,Male,Married,4,14,0,14,5,3,2011-01-25,2015-08-10,Yes
86,30,HR,HR Specialist,87981,14,1,3,3,1,Life Sciences,Female,Married,8,15,3,14,14,4,2011-01-26,2017-03-24,Yes
87,42,Engineering,Senior Engineer,131660,14,1,2,3,4,Life Sciences,Female,Married,0,22,1,1,0,1,2011-02-01,2016-02-04,Yes
88,37,HR,HR Director,116119,14,4,1,4,3,Life Sciences,Male,Married,10,14,2,14,3,9,2011-02-05,,No
89,30,Operations,Operations Manager,103749,14,3,3,4,5,Technical Degree,Female,Single,3,22,6,7,7,14,2011-02-07,,No
90,39,HR,HR Director,136553,14,3,3,5,3,Life Sciences,Female,Single,5,20,0,4,4,14,2011-02-13,,No
91,35,Sales,Sales Manager,66379,14,1,2,3,4,Life Sciences,Male,Married,9,15,0,12,7,14,2011-02-22,2013-10-24,Yes
92,42,IT,System Administrator,74726,14,5,1,1,5,Technical Degree,Male,Single,7,15,4,14,6,1,2011-03-04,,No
93,29,Engineering,Engineering Manager,135041,14,2,1,5,3,Technical Degree,Female,Married,2,18,0,14,14,10,2011-03-06,2016-03-10,Yes
94,32,Finance,Controller,97769,14,5,5,1,1,Other,Male,Married,4,18,1,14,14,14,2011-03-17,,No
95,31,IT,Developer,106365,14,5,3,4,2,Technical Degree,Female,Married,6,17,4,14,14,14,2011-03-20,2015-06-13,Yes
96,23,IT,Engineer,125989,14,1,1,5,2,Technical Degree,Female,Married,0,23,0,14,12,3,2011-03-23,2018-06-11,Yes
97,37,IT,System Administrator,104322,14,1,1,5,1,Technical Degree,Female,Divorced,6,23,6,9,9,12,2011-03-24,2014-03-12,Yes
98,37,Marketing,Marketing Manager,106665,14,1,4,2,2,Other,Female,Single,10,16,2,14,1,3,2011-04-05,2012-06-06,Yes
99,35,HR,HR Director,144261,14,4,4,4,2,Human Resources,Female,Married,7,17,6,14,9,14,2011-04-07,,No
100,33,Research,Research Scientist,90553,14,5,1,4,1,Life Sciences,Female,Divorced,7,23,5,4,4,14,2011-04-08,2014-02-05,Yes
101,23,Finance,Accountant,88255,14,3,5,5,1,Other,Male,Married,8,17,1,1,1,14,2011-04-11,,No
102,31,IT,Technical Specialist,97350,14,2,1,4,3,Technical Degree,Male,Married,5,15,2,9,9,7,2011-04-21,,No
103,32,Operations,Operations Specialist,77453,14,4,2,5,3,Technical Degree,Male,Divorced,5,18,2,14,10,14,2011-04-25,2020-09-02,Yes
104,28,Sales,Account Executive,69988,14,3,3,2,1,Other,Female,Single,1,18,4,14,12,7,2011-04-28,2015-11-09,Yes
105,33,IT,IT Manager,107430,14,5,5,5,4,Life Sciences,Male,Married,2,18,3,14,14,5,2011-04-29,,No
106,38,IT,Engineer,77262,14,1,2,4,2,Life Sciences,Male,Married,3,23,4,8,8,8,2011-05-02,2020-09-10,Yes
107,50,IT,Technical Specialist,107710,14,5,5,4,3,Other,Male,Single,3,14,1,14,14,14,2011-05-12,2015-07-18,Yes
108,36,Sales,Account Executive,86283,14,2,2,5,2,Marketing,Female,Divorced,7,19,1,14,4,14,2011-05-17,2013-08-22,Yes
109,37,Operations,Operations Specialist,75968,14,4,3,5,5,Life Sciences,Female,Divorced,0,15,4,14,2,14,2011-05-19,,No
110,34,Finance,Financial Analyst,74830,14,4,3,5,1,Life Sciences,Female,Married,9,20,3,7,2,14,2011-05-20,,No
111,19,Research,Research Scientist,78097,14,2,4,3,4,Medical,Male,Single,3,17,6,14,12,14,2011-05-26,2020-11-21,Yes
112,34,Research,Research Analyst,80208,14,3,2,4,5,Other,Female,Single,10,18,4,14,4,7,2011-06-04,2017-04-16,Yes
113,35,Marketing,Marketing Director,94492,14,3,4,4,5,Marketing,Female,Married,10,18,1,14,11,5,2011-06-06,,No
114,54,Research,Research Director,123575,14,4,2,3,5,Other,Male,Single,10,18,3,2,1,11,2011-06-06,,No
115,33,IT,Technical Specialist,85775,14,4,4,5,1,Technical Degree,Male,Married,3,15,1,4,4,10,2011-06-06,2017-08-30,Yes
116,37,IT,Developer,87002,14,1,3,2,3,Other,Male,Married,0,18,3,14,14,14,2011-06-09,2019-05-31,Yes
117,34,HR,HR Director,120482,14,3,5,5,1,Other,Female,Married,2,16,3,14,8,9,2011-06-10,2014-08-17,Yes
118,25,IT,Engineer,115126,13,2,4,5,3,Technical Degree,Male,Married,4,16,4,3,0,1,2011-06-13,2017-03-20,Yes
119,44,Marketing,Marketing Specialist,59814,13,3,2,3,5,Marketing,Male,Married,5,14,4,13,7,1,2011-06-15,2019-11-05,Yes
120,41,Engineering,Engineer,117482,13,1,2,4,5,Other,Female,Single,8,16,4,13,12,8,2011-06-16,2016-03-01,Yes
121,41,IT,Engineer,76218,13,4,3,5,4,Other,Male,Married,8,21,3,2,0,3,2011-06-17,2019-07-28,Yes
122,27,IT,System Administrator,104431,13,4,2,4,3,Technical Degree,Male,Married,8,20,3,3,3,2,2011-06-20,,No
123,46,Finance,Controller,110921,13,1,1,1,5,Life Sciences,Female,Married,10,15,1,13,13,4,2011-06-21,2019-01-10,Yes
124,23,Engineering,Engineering Manager,141189,13,2,5,4,2,Technical Degree,Male,Married,0,13,2,13,2,13,2011-06-23,,No
125,39,HR,Recruiter,51007,13,4,4,2,4,Other,Female,Married,8,13,4,5,3,11,2011-06-26,,No
126,52,Marketing,Marketing Specialist,75350,13,5,5,2,1,Marketing,Male,Divorced,7,18,5,2,1,5,2011-06-28,,No
127,27,IT,Technical Specialist,101510,13,4,3,5,4,Technical Degree,Female,Single,1,15,1,13,13,10,2011-06-29,,No
128,30,IT,IT Manager,110383,13,5,4,4,2,Technical Degree,Female,Single,10,16,1,13,13,8,2011-06-30,,No
129,35,Engineering,Engineer,89855,13,1,4,5,3,Technical Degree,Male,Married,0,13,0,13,13,13,2011-07-07,,No
130,30,Engineering,Senior Engineer,106668,13,1,1,3,1,Technical Degree,Male,Married,0,20,4,2,2,5,2011-07-08,2013-08-31,Yes
131,22,IT,Engineer,123818,13,4,3,2,1,Other,Female,Married,5,13,6,2,2,12,2011-07-12,,No
132,35,Engineering,Engineer,111152,13,3,2,5,3,Technical Degree,Female,Divorced,8,17,1,13,8,13,2011-07-13,,No
133,26,Operations,Supply Chain Manager,71922,13,5,1,3,4,Technical Degree,Female,Married,6,18,0,13,5,8,2011-07-16,2019-03-17,Yes
134,38,Research,Research Analyst,77733,13,2,1,5,5,Life Sciences,Female,Divorced,4,14,5,13,13,13,2011-07-20,2015-04-21,Yes
135,27,Finance,Controller,112210,13,4,5,4,4,Marketing,Male,Divorced,10,19,5,13,11,13,2011-07-22,2020-12-08,Yes
136,47,Marketing,Marketing Specialist,83362,13,2,5,4,2,Marketing,Male,Single,1,19,6,13,5,1,2011-07-22,,No
137,28,Finance,Accountant,74021,13,4,5,4,5,Marketing,Female,Married,0,13,4,13,0,6,2011-07-25,,No
138,32,Operations,Operations Specialist,89531,13,3,1,4,4,Technical Degree,Male,Married,1,16,3,13,13,11,2011-07-29,2021-02-05,Yes
139,41,IT,IT Manager,85681,13,3,2,1,3,Technical Degree,Male,Single,0,16,0,13,13,13,2011-08-03,,No
140,25,IT,Technical Specialist,86720,13,3,4,3,2,Technical Degree,Male,Married,2,17,3,13,13,1,2011-08-03,2020-04-09,Yes
141,36,HR,HR Specialist,58204,13,3,5,3,2,Other,Male,Married,5,13,5,13,1,11,2011-08-04,,No
142,45,Sales,Sales Manager,76217,13,1,2,4,2,Life Sciences,Male,Single,7,13,5,13,13,11,2011-08-05,2020-03-21,Yes
143,22,IT,System Administrator,56408,13,1,3,1,5,Other,Female,Married,2,19,2,12,2,8,2011-08-06,2018-02-23,Yes
144,36,Operations,Operations Manager,106506,13,5,5,4,1,Life Sciences,Male,Married,9,21,2,11,2,3,2011-08-09,,No
145,37,Engineering,Engineer,123798,13,2,4,1,5,Life Sciences,Male,Single,8,13,6,11,4,13,2011-08-15,2017-10-30,Yes
146,41,IT,Technical Specialist,100105,13,4,3,4,4,Technical Degree,Female,Married,9,14,2,7,0,12,2011-08-16,2014-12-10,Yes
147,25,Operations,Supply Chain Manager,95322,13,4,3,2,1,Life Sciences,Female,Single,4,18,2,12,12,6,2011-08-19,,No
148,24,Finance,Finance Manager,81560,13,1,4,2,4,Life Sciences,Male,Married,6,18,6,13,13,8,2011-08-21,,No
149,39,Research,Research Director,138146,13,4,5,5,1,Life Sciences,Male,Single,7,14,1,5,5,5,2011-08-22,2014-02-11,Yes
150,37,IT,IT Manager,107632,13,1,1,4,5,Other,Female,Divorced,2,21,2,2,2,10,2011-08-24,2017-07-16,Yes
151,37,Operations,Operations Manager,83413,13,5,4,3,2,Technical Degree,Female,Married,1,16,1,13,0,13,2011-08-24,,No
152,37,Research,Research Scientist,115968,13,2,4,5,3,Life Sciences,Female,Single,1,19,1,13,6,12,2011-08-30,2013-12-05,Yes
153,29,Engineering,Technical Director,141897,13,5,4,2,2,Technical Degree,Female,Married,4,18,4,13,13,13,2011-09-04,2021-07-24,Yes
154,36,Operations,Operations Manager,86509,13,3,3,4,5,Technical Degree,Female,Married,0,15,1,13,6,6,2011-09-04,,No
155,37,Finance,Controller,94662,13,3,2,5,1,Life Sciences,Male,Married,1,20,1,11,10,9,2011-09-07,2013-06-27,Yes
156,29,Operations,Supply Chain Manager,117403,13,3,1,4,2,Other,Female,Married,8,19,2,6,6,10,2011-09-08,2014-10-08,Yes
157,49,Research,Research Scientist,103097,13,5,5,2,5,Medical,Male,Married,6,21,1,13,13,13,2011-09-12,,No
158,38,Marketing,Marketing Specialist,51645,13,4,5,5,4,Marketing,Female,Single,5,15,3,13,12,13,2011-09-13,2017-06-15,Yes
159,25,IT,IT Manager,130151,13,2,2,2,3,Technical Degree,Female,Single,8,13,6,10,3,13,2011-09-13,,No
160,40,Engineering,Senior Engineer,82311,13,3,4,1,2,Technical Degree,Male,Married,6,14,2,13,8,13,2011-09-14,2021-07-30,Yes
161,27,Operations,Supply Chain Manager,104818,13,3,1,2,1,Other,Male,Married,10,13,6,13,8,4,2011-09-15,2013-04-29,Yes
162,41,Operations,Operations Specialist,72244,13,3,5,4,4,Other,Male,Married,4,17,0,5,5,2,2011-09-16,,No
163,44,IT,Engineer,99383,13,2,5,3,5,Life Sciences,Male,Divorced,8,22,2,13,11,13,2011-09-19,2014-08-09,Yes
164,28,Operations,Operations Manager,108262,13,3,4,2,3,Technical Degree,Female,Married,5,14,1,13,9,1,2011-10-02,2018-07-11,Yes
165,42,HR,Recruiter,73231,13,2,2,3,1,Human Resources,Male,Married,5,15,3,7,5,3,2011-10-05,,No
166,38,Operations,Supply Chain Manager,86600,13,3,1,1,5,Other,Female,Married,10,20,6,11,1,11,2011-10-07,,No
167,41,IT,Engineer,102695,13,5,2,5,5,Life Sciences,Male,Single,3,22,2,13,13,13,2011-10-10,2017-03-04,Yes
168,50,Operations,Supply Chain Manager,74478,13,5,2,5,2,Technical Degree,Female,Divorced,0,17,3,13,8,13,2011-10-11,2019-05-10,Yes
169,33,Engineering,Engineering Manager,149963,13,2,1,3,2,Technical Degree,Female,Married,4,16,6,13,13,13,2011-10-12,2013-08-12,Yes
170,28,IT,IT Manager,146177,13,5,1,5,1,Technical Degree,Female,Married,10,17,0,13,5,9,2011-10-16,,No
171,27,Engineering,Technical Director,145746,13,2,5,2,5,Technical Degree,Male,Single,8,22,5,13,1,12,2011-10-21,2014-05-30,Yes
172,28,Finance,Controller,116818,13,5,5,3,2,Life Sciences,Female,Married,7,18,0,13,13,13,2011-10-23,2018-10-20,Yes
173,34,Research,Research Scientist,98176,13,5,1,4,3,Life Sciences,Male,Divorced,7,19,5,13,13,5,2011-10-24,2017-04-09,Yes
174,37,Sales,Sales Representative,68476,13,2,3,2,3,Other,Male,Single,4,21,4,13,13,8,2011-10-28,,No
175,37,Marketing,Brand Manager,73584,13,4,5,2,5,Other,Male,Divorced,8,13,5,4,3,3,2011-10-29,,No
176,41,Sales,Sales Representative,63830,13,5,3,2,2,Other,Male,Married,2,16,4,1,0,2,2011-11-17,,No
177,35,Research,Research Director,88591,13,3,1,4,1,Life Sciences,Female,Married,2,21,2,13,7,13,2011-11-18,2019-08-10,Yes
178,46,Finance,Accountant,71395,13,4,5,1,1,Life Sciences,Male,Married,0,17,4,13,9,8,2011-11-22,,No
179,32,HR,HR Director,107905,13,2,2,5,1,Other,Female,Divorced,8,20,3,13,9,2,2011-11-24,,No
180,56,Operations,Operations Specialist,73546,13,4,1,3,3,Life Sciences,Female,Single,5,13,4,13,13,13,2011-11-27,,No
181,40,Research,Research Director,111014,13,1,4,1,2,Life Sciences,Male,Single,1,16,3,5,1,1,2011-11-30,,No
182,28,Sales,Sales Manager,115278,13,1,3,3,2,Marketing,Female,Divorced,7,21,6,4,0,13,2011-12-04,,No
183,26,Sales,Sales Director,139258,13,5,1,5,3,Marketing,Male,Married,8,13,6,13,13,13,2011-12-05,,No
184,38,Finance,Financial Analyst,94339,13,5,1,4,1,Life Sciences,Male,Single,8,13,5,13,0,3,2011-12-06,,No
185,33,Research,Research Scientist,72395,13,3,5,2,1,Life Sciences,Male,Married,1,16,5,12,3,9,2011-12-07,,No
186,40,IT,Developer,75779,13,4,5,2,5,Life Sciences,Female,Married,1,15,5,13,2,5,2011-12-08,2018-05-24,Yes
187,38,Marketing,Marketing Director,130855,13,1,5,4,4,Marketing,Female,Married,6,19,4,13,9,6,2011-12-12,2017-10-28,Yes
188,34,IT,Developer,66792,13,5,4,1,2,Life Sciences,Male,Single,10,15,5,13,11,4,2011-12-16,2015-11-21,Yes
189,28,HR,HR Director,122577,13,4,5,1,2,Human Resources,Male,Married,3,13,4,13,13,13,2011-12-19,2016-05-20,Yes
190,22,HR,HR Manager,104333,13,5,1,3,2,Other,Female,Single,0,22,4,9,6,13,2011-12-19,2013-11-10,Yes
191,31,HR,HR Director,94096,13,5,5,4,4,Other,Male,Married,7,14,1,4,3,13,2011-12-24,,No
192,41,Operations,Operations Manager,73254,13,1,2,1,5,Technical Degree,Female,Divorced,1,22,1,5,5,11,2012-01-01,2020-08-24,Yes
193,36,HR,HR Manager,75965,13,1,5,4,4,Other,Male,Married,2,16,4,9,4,2,2012-01-01,2015-08-20,Yes
194,25,Finance,Controller,137987,13,5,4,5,1,Marketing,Male,Single,4,13,6,13,1,13,2012-01-05,,No
195,36,IT,Developer,92963,13,2,2,2,1,Technical Degree,Female,Single,2,13,3,10,9,13,2012-01-10,,No
196,38,HR,Recruiter,66494,13,5,1,2,2,Human Resources,Male,Married,6,20,2,13,1,13,2012-01-12,2013-10-22,Yes
197,27,IT,Technical Specialist,105523,13,5,1,2,3,Technical Degree,Female,Married,6,19,0,13,8,10,2012-01-14,2020-07-19,Yes
198,36,IT,Developer,92675,13,3,3,4,2,Life Sciences,Female,Married,1,20,1,4,2,6,2012-01-15,,No
199,35,Operations,Operations Specialist,80279,13,3,2,4,3,Technical Degree,Male,Married,6,16,4,13,9,13,2012-01-24,2019-01-15,Yes
200,25,Operations,Operations Specialist,62502,13,3,3,3,4,Other,Male,Married,10,18,0,13,1,5,2012-01-25,,No
201,37,Operations,Operations Manager,81473,13,2,2,2,1,Technical Degree,Female,Married,5,15,1,13,7,12,2012-01-28,2021-01-30,Yes
202,39,Finance,Controller,116820,13,2,2,3,3,Other,Female,Single,9,20,2,8,7,6,2012-01-30,2017-12-06,Yes
203,43,HR,HR Director,108414,13,5,4,2,4,Human Resources,Male,Single,8,16,3,13,13,13,2012-02-01,,No
204,43,Research,Research Director,133657,13,3,3,3,1,Life Sciences,Female,Single,8,15,4,13,13,13,2012-02-02,,No
205,23,Marketing,Marketing Specialist,61279,13,2,4,3,3,Marketing,Male,Married,1,16,2,13,3,7,2012-02-03,2021-11-01,Yes
206,27,Finance,Accountant,91476,13,1,2,5,2,Other,Male,Divorced,6,18,6,13,13,2,2012-02-05,2019-09-21,Yes
207,39,IT,Technical Specialist,86995,13,5,1,3,2,Technical Degree,Female,Married,4,19,1,13,11,6,2012-02-08,,No
208,39,HR,HR Manager,127743,13,4,2,4,2,Human Resources,Male,Single,5,19,4,13,13,9,2012-02-09,,No
209,39,HR,HR Specialist,74911,13,5,4,3,4,Other,Female,Single,0,16,0,5,0,7,2012-02-11,,No
